plant_id,image_url,plant_name,scientific_name,origin_place,description,climate,fertilizer,uses,common_disease,harvest_time,watering_frequency,harvest_time_days,watering_interval,watering_time
plant_00,https://storage.googleapis.com/tanamore/plant_encyclopedia/10_AloeVera.jpg,Aloe Vera,Aloe barbadensis miller,Afrika Utara dan Timur Tengah,"loe Vera adalah tanaman sukulen dengan daun tebal berwarna hijau kebiruan, berbentuk segitiga, dan ujungnya berduri kecil. Tanaman ini dikenal karena getahnya yang kaya manfaat untuk kesehatan dan kecantikan. Tingginya dapat mencapai 30–60 cm, sementara lebarnya bervariasi tergantung kondisi pertumbuhan. Aloe Vera adalah tanaman perawatan rendah yang tumbuh baik di dalam maupun di luar ruangan.",Iklim kering hingga semi-tropis dengan suhu antara 20–30°C,Pupuk organik atau pupuk sukulen sekali setiap bulan selama musim semi dan musim panas.,"Hiasan: Cocok untuk dekorasi indoor dan outdoor karena bentuknya yang unik.
Obat: Digunakan sebagai bahan alami untuk perawatan kulit, luka bakar ringan, dan masalah pencernaan.
Bahan makanan: Gel Aloe Vera sering dijadikan bahan untuk minuman atau makanan kesehatan.","Root rot: Disebabkan oleh penyiraman berlebih.
Pest infestations: Rentan terhadap kutu putih dan tungau laba-laba.
Soft rot: Akibat infeksi bakteri atau jamur.",6-8 bulan sejak ditanam untuk gelnya.,"7–14 hari, tergantung pada kelembaban tanah dan suhu lingkungan.",180,"Disiram biasanya 1-2 minggu sekali, tergantung kondisi cuaca.",
plant_01,https://storage.googleapis.com/tanamore/plant_encyclopedia/20_Apple.jpg,Apple,Malus domestica,Asia,"Apple atau apel adalah pohon buah yang berukuran sedang dengan daun hijau berbentuk oval bergigi halus. Bunganya kecil berwarna putih dengan semburat merah muda, tumbuh berkelompok. Buah apel berbentuk bulat dengan kulit halus, tersedia dalam berbagai warna seperti merah, hijau, atau kuning, tergantung varietas. Apel memiliki daging buah yang renyah dengan rasa manis hingga asam. Tinggi pohon apel berkisar antara 4–10 meter, dengan lebar mahkota sekitar 3–6 meter. Tanaman ini dikenal karena masa tanam yang panjang dan kemampuan adaptasinya yang baik.","Iklim subtropis hingga sedang, dengan suhu ideal 18–24°C.",Pupuk organik atau NPK dengan kandungan kalium tinggi diaplikasikan setiap bulan selama musim tanam.,"Bahan makanan: Dikonsumsi langsung atau digunakan dalam pembuatan jus, pai, dan saus.
Kesehatan: Kaya akan serat dan vitamin C, baik untuk pencernaan dan kesehatan kulit.","Apple Scab: Disebabkan oleh jamur Venturia inaequalis.
Fire Blight: Infeksi bakteri Erwinia amylovora.
Powdery Mildew: Infeksi jamur pada daun dan bunga.",3–5 tahun setelah tanam dari bibit.,2–3 kali per minggu dengan jumlah air sekitar 3–5 liter per penyiraman.,1300,Disiram 2–3 kali per minggu dengan jumlah air sekitar 3–5 liter per penyiraman untuk pohon dewasa. Tanah harus lembap tetapi tidak terlalu basah.,
plant_02,https://storage.googleapis.com/tanamore/plant_encyclopedia/09_ArecaPalm.jpg,Areca Palm ,Dypsis lutescens,Madagaskar,"Areca Palm adalah tanaman hias dengan batang ramping menyerupai buluh dan daun panjang berbentuk melengkung yang terdiri dari banyak daun kecil berwarna hijau terang. Tumbuhan ini biasanya tumbuh setinggi 1,5–3 meter dalam ruangan dan bisa mencapai 6–12 meter di luar ruangan. Areca Palm sering digunakan untuk menciptakan nuansa tropis di rumah dan dikenal sebagai salah satu tanaman pembersih udara alami.",Iklim tropis dan subtropis dengan suhu ideal antara 18-30°C. Areca Palm membutuhkan kelembaban tinggi.,Pupuk khusus tanaman tropis atau pupuk cair serbaguna setiap 6-8 minggu selama musim semi dan musim panas,Hiasan: Sering digunakan sebagai tanaman dekorasi indoor dan outdoor karena penampilannya yang tropis dan kemampuannya menyaring udara.,"Leaf spot: Disebabkan oleh jamur atau bakteri.
Root rot: Akibat penyiraman berlebihan atau drainase buruk.
Brown tips: Disebabkan oleh kekurangan kelembaban atau air dengan kandungan fluoride atau klorin tinggi.","90-180 hari sejak ditanam, tergantung pada kondisi perawatan","7-14 hari, tergantung pada kelembaban tanah dan lingkungan",,"Disiram secara teratur, memastikan tanah tetap lembab tetapi tidak basah. Penyiraman biasanya diperlukan 1-2 kali seminggu, tergantung pada kelembaban lingkungan.",
plant_03,https://storage.googleapis.com/tanamore/plant_encyclopedia/08_BirdsNestFern.jpg,Birds Nest Fern ,Asplenium nidus,"Asia Tenggara, Afrika, dan Australia","Bird's Nest Fern adalah tanaman paku yang memiliki daun panjang, lebar, berwarna hijau terang dengan tekstur mengkilap. Daunnya tumbuh melingkar dari pusat seperti sarang burung, itulah asal namanya. Tanaman ini dapat tumbuh setinggi 60-120 cm dengan lebar 50-100 cm. Tanaman ini sangat estetis dan populer sebagai dekorasi karena keindahan daunnya yang unik dan mudah dirawat.",Iklim tropis dan subtropis dengan suhu ideal antara 18-27°C. Membutuhkan kelembaban tinggi.,Pupuk cair untuk tanaman hijau atau tanaman hias setiap 6-8 minggu selama musim tumbuh,Hiasan: Sering digunakan sebagai tanaman dekorasi indoor atau outdoor karena penampilannya yang estetis dan kemampuannya menambah kesan tropis.,"Leaf spot: Disebabkan oleh infeksi jamur atau bakteri.
Brown tips: Disebabkan oleh udara kering atau air dengan kandungan garam atau mineral tinggi.
Pest infestations: Rentan terhadap tungau laba-laba dan kutu putih.",90-120 hari untuk mencapai ukuran yang menarik sebagai dekorasi.,"7-14 hari, tergantung pada kelembaban tanah dan lingkungan",,"Disiram ketika tanah mulai kering, tetapi jangan biarkan tanah terlalu kering. Frekuensi penyiraman biasanya setiap 1-2 minggu tergantung pada kelembaban lingkungan.",
plant_04,https://storage.googleapis.com/tanamore/plant_encyclopedia/17_Bluberry.jpg,Blueberry,Vaccinium corymbosum,Amerika Utara,"Blueberry adalah tanaman perdu kecil dengan tinggi sekitar 1–2 meter. Daunnya kecil, oval, berwarna hijau, dan akan berubah menjadi merah keunguan pada musim gugur. Buahnya kecil, bulat, dengan diameter sekitar 0,5–1,5 cm, berwarna biru tua hingga ungu dengan lapisan lilin yang memberikan tampilan buram.",Iklim subtropis hingga sedang dengan suhu ideal 15–25°C.,"Pupuk asam, seperti sulfur atau NPK dengan kandungan nitrogen tinggi, diaplikasikan setiap 4–6 minggu.","Bahan makanan: Kaya antioksidan dan digunakan dalam kue, jus, atau smoothies.","Mummy Berry: Disebabkan oleh jamur Monilinia vaccinii-corymbosi.
Stem Blight: Akibat infeksi Botryosphaeria dothidea.
Root Rot: Disebabkan oleh jamur Phytophthora.",2–3 tahun setelah tanam dari bibit.,2–3 kali per minggu dengan jumlah air sekitar 300–500 ml per penyiraman.,700,Disiram 2–3 kali per minggu dengan jumlah air sekitar 300–500 ml per penyiraman. Pastikan tanah tetap lembap tetapi tidak tergenang air.,
plant_05,https://storage.googleapis.com/tanamore/plant_encyclopedia/16_Cherry.jpg,Cherry,Prunus avium,Eropa dan Asia Barat,"Cherry adalah pohon kecil hingga sedang dengan daun hijau berbentuk oval yang bergigi halus di tepinya. Buah cherry berbentuk bulat kecil dengan diameter 1–2 cm dan warna merah cerah hingga merah tua, tergantung varietas. Bunganya berwarna putih atau merah muda dan sangat menarik. Pohon cherry dapat tumbuh hingga ketinggian 5–15 meter.",Iklim subtropis hingga dingin dengan suhu ideal 18–25°C.,Pupuk organik atau NPK seimbang diaplikasikan setiap bulan selama musim tanam.,"Bahan makanan: Dimakan segar, dijadikan selai, jus, atau sebagai topping dessert.
Kesehatan: Kaya antioksidan dan baik untuk kesehatan jantung.","Brown Rot: Disebabkan oleh jamur Monilinia fructicola.
Cherry Leaf Spot: Akibat jamur Blumeriella jaapii.
Powdery Mildew: Infeksi jamur yang menyebabkan lapisan putih pada daun.",3–5 tahun setelah tanam dari bibit,1–2 kali per minggu dengan jumlah air sekitar 3–5 liter per penyiraman.,1000,"Disiram 1–2 kali per minggu dengan jumlah air sekitar 3–5 liter per penyiraman untuk pohon dewasa. Pastikan tanah tetap lembap, terutama saat berbunga dan berbuah.",
plant_06,https://storage.googleapis.com/tanamore/plant_encyclopedia/07_ChineseEvergreen.jpg,Chinese evergreen ,Aglaonema spp.,Asia Tenggara dan wilayah tropis lainnya di Asia,"Chinese Evergreen adalah tanaman hias dengan daun lebar berbentuk oval dan pola beraneka warna, mulai dari hijau, perak, hingga merah muda. Tanaman ini tumbuh dengan tinggi rata-rata sekitar 30-100 cm dan lebar hingga 50 cm. Tanaman ini sangat tahan terhadap kondisi cahaya rendah dan memiliki kemampuan menyaring udara dari polutan, menjadikannya pilihan populer untuk dekorasi rumah atau kantor",Iklim tropis dan subtropis dengan suhu antara 18-26°C.,Pupuk cair serbaguna atau pupuk untuk tanaman hias setiap 6-8 minggu selama musim tumbuh (musim semi dan musim panas).,Hiasan: Sering digunakan sebagai tanaman dekorasi indoor karena penampilannya yang cantik dan perawatan yang mudah.,"Yellowing leaves: Biasanya disebabkan oleh penyiraman berlebihan.
Leaf spot: Disebabkan oleh infeksi jamur atau bakteri.
Pest infestations: Rentan terhadap kutu daun, tungau laba-laba, dan serangga skala.",90-120 hari untuk mencapai ukuran yang menarik sebagai dekorasi.,"7-14 hari, tergantung pada kelembaban tanah dan lingkungan",,Disiram ketika lapisan atas tanah mulai kering. Penyiraman berlebih dapat menyebabkan busuk akar. Frekuensi penyiraman biasanya setiap 1-2 minggu tergantung pada lingkungan.,
plant_07,https://storage.googleapis.com/tanamore/plant_encyclopedia/13_Corn.jpg,Corn,Zea mays,Amerika Tengah,"Corn, atau jagung, adalah tanaman berbatang tegak yang dapat mencapai tinggi hingga 2–3 meter. Daunnya panjang dan sempit dengan warna hijau segar. Tanaman ini menghasilkan tongkol yang berisi biji-biji jagung yang tersusun rapat dan dilindungi oleh kelobot. Warna bijinya bervariasi, mulai dari kuning hingga merah atau ungu, tergantung varietas.",Iklim tropis hingga subtropis dengan suhu ideal 18–27°C.,Pupuk NPK tinggi nitrogen diaplikasikan setiap 2 minggu selama musim tanam.,"Bahan makanan: Sumber karbohidrat utama di banyak negara.
Pakan ternak: Bagian tanaman seperti daun dan batang sering digunakan sebagai pakan ternak.","Corn Leaf Blight: Disebabkan oleh jamur Bipolaris maydis.
Stalk Rot: Akibat infeksi bakteri Erwinia chrysanthemi.
Corn Smut: Disebabkan oleh jamur Ustilago maydis.",90–120 hari setelah penanaman tergantung varietas,2–3 kali per minggu dengan jumlah air sekitar 1 liter per tanaman.,70,"Disiram 2–3 kali per minggu dengan jumlah air sekitar 1 liter per penyiraman untuk setiap tanaman, terutama saat berbunga dan pembentukan tongkol.",
plant_08,https://storage.googleapis.com/tanamore/plant_encyclopedia/06_Dracaena.jpg,Dracaena,Dracaena spp.," Afrika, Asia, dan Amerika Tengah","Dracaena adalah tanaman hias dengan daun yang panjang, ramping, dan sering bergaris atau berwarna hijau tua dengan variasi putih, kuning, atau merah. Batangnya keras dan tegak, menyerupai batang pohon kecil. Tanaman ini tumbuh lambat dan bisa mencapai tinggi hingga 2-3 meter di dalam ruangan, dengan lebar sekitar 50-100 cm. Dracaena dikenal sebagai tanaman yang mudah dirawat dan mampu menyaring udara di dalam ruangan.",Iklim tropis dan subtropis dengan suhu antara 18-24°C,Pupuk cair serbaguna atau pupuk khusus tanaman hias setiap 4-6 minggu selama musim semi dan musim panas.,Hiasan: Sangat populer sebagai tanaman dekorasi indoor karena perawatannya yang mudah dan penampilannya yang elegan.,"Leaf spot: Disebabkan oleh infeksi jamur atau bakteri.
Root rot: Akibat penyiraman berlebih atau drainase buruk.
Brown tips: Disebabkan oleh kekurangan kelembaban atau air dengan kandungan fluoride tinggi.",90-120 hari diperlukan untuk mencapai ukuran yang ideal sebagai tanaman dekorasi.,"7-14 hari, tergantung pada tingkat kelembaban udara, ukuran pot, dan kondisi lingkungan.",,Disiram ketika lapisan atas tanah mulai kering. Terlalu banyak air dapat menyebabkan busuk akar. Biasanya cukup disiram setiap 1-2 minggu sekali.,
plant_09,https://storage.googleapis.com/tanamore/plant_encyclopedia/05_DumbCane.jpg,Dumb Cane ,Dieffenbachia spp.,Amerika Tengah dan Selatan,"Dumb Cane adalah tanaman berdaun besar dengan pola unik berupa bercak putih, hijau muda, atau krem di daunnya. Tanaman ini biasanya tumbuh hingga setinggi 1-2 meter sebagai tanaman indoor. Lebar daun bisa mencapai 20-30 cm. Tumbuhan ini dikenal karena kemampuannya menyaring udara, tetapi getahnya beracun dan dapat menyebabkan iritasi jika tersentuh atau tertelan.",Iklim tropis dan subtropis dengan suhu antara 18-24°C,Pupuk cair serbaguna setiap 4-6 minggu selama musim tumbuh (musim semi dan musim panas).,Hiasan: Sangat populer sebagai tanaman dekorasi indoor karena perawatannya yang mudah dan penampilannya yang menarik.,"Leaf spot: Disebabkan oleh infeksi jamur atau bakteri.
Root rot: Akibat penyiraman berlebih atau drainase buruk.
Pest infestations: Rentan terhadap kutu daun, tungau laba-laba, dan serangga skala.",60-90 hari untuk mencapai ukuran yang cukup besar dan menarik sebagai tanaman hias setelah ditanam dari stek atau bibit.,"7-10 hari sekali, tergantung pada kelembaban lingkungan dan musim.",,Disiram ketika lapisan atas tanah mulai kering. Terlalu banyak air dapat menyebabkan busuk akar.,
